File path:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File note:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File date:,1/6/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File time:,21:53:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRRf3 Ka:,11800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Chl] multiplier:,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QR threshold:,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C derivation:,qP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TauPQ:,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TauSQ:,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Act2 SN:,15-0003-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Act2 LED:,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRRf3 SN:,14-9727-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450 nm:,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530 nm:,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624 nm:,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,B,C,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha:,0.321,0.328,0.336,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ek:,339.7,231,242.4,236.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pm:,68.94,47.93,51.5,49.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Em:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlphaW:,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SErP:,0.669,0.261,0.365,0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm,,,,,,,,,,,,,,,,,,,,,,,
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,0:48,48,4.48,31,0,0,0,0,0.747,1.086,0.313,,0.262,0.0449,4.488,0.494,3741,0.14,3.12,,44.15,0.753,1.075,0.00395,0.006145,0.007305,0.643,,17,0.009417,0.753,36,0.00038,1.061
,2,22,7:06,426,5.005,37,6.887,6.838,62.7,0.0168,0.834,1.214,0.313,,0.278,0.0473,4.733,0.424,4323,0.02,2.791,,18.37,0.818,1.204,0.012,0.0173,0.021,0.693,,12,0.0143,0.818,36,0.000165,1.198
,3,49,8:10,490,5.229,38,14.52,14.65,118.7,0.0354,0.872,1.239,0.296,,0.13,0.0402,4.023,0.36,4208,0,2.736,,12.89,0.874,1.203,0.0174,0.0187,0.0255,0.928,,16,0.0102,0.874,36,-0.000101,1.207
,4,81,9:13,553,5.221,40,23.62,23.13,190.5,0.0575,0.87,1.228,0.292,,0.16,0.0391,3.906,0.324,4144,0.008,2.759,,14.57,0.864,1.214,0.0183,0.0156,0.024,1.173,,12,0.0115,0.864,36,0.00068,1.19
,5,118,10:16,616,5.196,39,31.57,32,228.3,0.0769,0.866,1.182,0.268,,0.043,0.0321,3.213,0.378,4624,0.047,2.866,,13.65,0.861,1.173,0.0164,0.0159,0.0229,1.033,,15,0.009445,0.861,36,0.001179,1.131
,6,163,11:19,679,4.997,40,40.95,41.56,479.5,0.0997,0.833,1.112,0.251,,0.218,0.0488,4.885,0.228,3203,0.113,3.047,,10.43,0.83,1.111,0.0151,0.0223,0.0269,0.677,,13,0.0109,0.83,36,0.000693,1.086
,7,216,12:22,742,5.115,39,46.62,51.31,413.2,0.114,0.852,1.087,0.216,0.111,0.033,0.0318,3.176,0.43,3395,0.139,3.118,,7.889,0.821,1.05,0.022,0.019,0.0291,1.158,,13,0.009446,0.821,36,-0.000182,1.056
,8,279,13:25,805,4.661,38,68.12,61.08,762.4,0.166,0.777,1.028,0.244,,0.039,0.0454,4.538,0.294,3741,0.205,3.298,,9.331,0.778,1.025,0.0154,0.0216,0.0265,0.711,,12,0.009662,0.778,36,0.000648,1.002
,9,353,14:28,868,4.822,39,60.58,68.66,,0.148,,0.97,0.172,0.229,,,,,,0.277,3.493,,5.436,0.804,0.97,0.022,0.0213,0.0306,1.035,,12,0.007736,0.804,36,-0.000068,0.973
,10,442,15:31,931,4.521,42,85.78,66.76,,0.209,0.753,0.935,0.194,0.102,,,,,,0.325,3.625,,5.618,0.753,0.935,0.0202,0.0252,0.0323,0.802,,15,0.005762,0.753,36,0.001143,0.894
,11,547,16:34,994,4.529,42,77.26,64.51,,0.188,0.755,0.879,0.141,0.314,,,,,,0.409,3.856,,4.48,0.755,0.879,0.0174,0.0215,0.0277,0.809,,14,0.003838,0.755,36,0.000171,0.873
,12,671,17:37,1057,4.417,45,74.19,62.03,,0.181,0.736,0.828,0.111,0.437,,,,,,0.496,4.095,,2.984,0.736,0.828,0.018,0.0248,0.0307,0.726,,33,0.001614,0.736,36,0.000532,0.809
,13,819,18:40,1120,4.094,46,121.5,59.44,,0.296,0.682,0.801,0.148,0.224,,,,,,0.546,4.231,,3.15,0.682,0.801,0.0288,0.0244,0.0377,1.182,,14,0.005947,0.682,36,0.000667,0.777
,14,995,19:44,1184,4.116,49,106.9,56.95,,0.26,0.686,0.769,0.107,0.419,,,,,,0.611,4.41,,2.35,0.686,0.769,0.0254,0.0243,0.0351,1.044,,12,0.003593,0.686,36,0.000673,0.744
,15,1204,20:46,1246,4.28,53,15.2,54.76,,0.037,0.713,0.722,0.013,0.928,,,,,,0.715,4.692,,0.224,0.713,0.722,0.0314,0.026,0.0407,1.207,,12,0.000612,0.713,36,0.000139,0.717
,16,1451,21:49,1309,4.091,58,85.96,53,,0.209,0.682,0.725,0.059,0.664,,,,,,0.709,4.676,,0.983,0.682,0.725,0.0317,0.03,0.0437,1.058,,18,0.001386,0.682,36,-0.000207,0.732
,17,1745,22:52,1372,3.845,65,83.34,51.75,,0.203,0.641,0.673,0.048,0.712,,,,,,0.84,5.036,,0.551,0.641,0.673,0.0434,0.0391,0.0584,1.11,,12,0.008086,0.641,36,-0.000748,0.7
,18,2094,23:55,1435,4.012,74,55.28,50.96,,0.135,0.669,0.687,0.026,0.843,,,,,,0.803,4.934,,0.345,0.669,0.687,0.038,0.0362,0.0525,1.049,,33,0.000063,0.669,36,-0.000342,0.699
,19,2508,24:59:00,1499,,81,-3094871,50.54,,,,,,,,,,,,,,,,0.651,0.643,0.0294,0.0337,0.0447,0.873,,13,0.002193,0.651,36,-0.000724,0.67
,20,3000,26:02:00,1562,3.798,94,129.3,50.35,,0.315,0.633,0.661,0.043,0.736,,,,,,0.872,5.124,,0.347,0.633,0.661,0.0686,0.0454,0.0823,1.513,,13,0.00397,0.633,36,0.00008,0.659
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm,,,,,,,,,,,,,,,,,,,,,,,
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,0:48,48,4.48,37,0,0,0,0,0.613,0.882,0.304,,0.267,0.0503,3.351,0.49,3331,0.117,2.958,,44.94,0.61,0.875,0.003211,0.004947,0.005898,0.649,,12,0.009357,0.61,36,0.000269,0.865
,2,22,7:06,426,5.005,43,6.805,6.889,42.9,0.014,0.674,0.975,0.309,,0.271,0.0486,3.238,0.416,4477,0.009,2.673,,17.74,0.671,0.964,0.0131,0.01,0.0165,1.304,,12,0.0104,0.671,36,0.000161,0.958
,3,49,8:10,490,5.229,45,13.93,14.49,95.54,0.0286,0.705,0.985,0.284,,0.348,0.0486,3.238,0.276,3779,0,2.648,,19.36,0.707,0.979,0.008224,0.0114,0.0141,0.72,,18,0.008023,0.707,36,0.000525,0.96
,4,81,9:13,553,5.221,45,23.71,22.43,166.6,0.0487,0.683,0.966,0.293,,0.152,0.0512,3.415,0.294,3549,0.02,2.7,,19.68,0.687,0.962,0.007399,0.0118,0.014,0.625,,13,0.009624,0.687,36,0.000562,0.941
,5,118,10:16,616,5.196,45,30.64,30.33,162.7,0.0629,0.703,0.949,0.26,0.027,0.038,0.0343,2.289,0.406,3408,0.037,2.747,,11.48,0.691,0.928,0.0139,0.0153,0.0207,0.913,,15,0.007559,0.691,36,0.000268,0.919
,6,163,11:19,679,4.997,44,38.3,38.38,347,0.0786,0.679,0.888,0.235,0.075,0.306,0.053,3.535,0.181,2883,0.109,2.936,,12.56,0.671,0.881,0.0107,0.0129,0.0167,0.83,,13,0.008224,0.671,36,0.000164,0.875
,7,216,12:22,742,5.115,43,48.23,46.06,368.2,0.099,0.663,0.853,0.223,0.094,0.052,0.0425,2.831,0.47,4349,0.154,3.057,,8.691,0.663,0.854,0.0149,0.0161,0.0219,0.924,,12,0.006616,0.663,36,0.000597,0.832
,8,279,13:25,805,4.661,43,53.86,47.5,478.2,0.111,0.661,0.819,0.193,0.192,0.17,0.0427,2.846,0.28,3037,0.203,3.185,,7.536,0.659,0.814,0.0167,0.012,0.0206,1.389,,16,0.004984,0.659,36,0.000157,0.809
,9,353,14:28,868,4.822,44,50.51,48.18,724.4,0.104,0.662,0.772,0.143,0.374,0.194,0.0511,3.408,0.224,4131,0.275,3.377,,6.795,0.652,0.758,0.00985,0.0121,0.0156,0.815,,20,0.004364,0.652,36,-0.000176,0.765
,10,442,15:31,931,4.521,43,53.11,49.84,,0.109,0.637,0.724,0.12,0.447,,,,,,0.36,3.601,,4.982,0.637,0.724,0.008436,0.0153,0.0175,0.552,,13,0.005749,0.637,36,0.000019,0.724
,11,547,16:34,994,4.529,46,37.81,51.88,,0.0776,0.635,0.682,0.069,0.667,,,,,,0.444,3.823,,2.262,0.635,0.682,0.0155,0.014,0.0208,1.109,,17,0.002351,0.635,36,-0.000169,0.688
,12,671,17:37,1057,4.417,47,55.18,53.81,,0.113,0.593,0.646,0.082,0.586,,,,,,0.523,4.034,,2.495,0.593,0.646,0.0136,0.0164,0.0213,0.83,,22,0.002035,0.593,36,0.000039,0.645
,13,819,18:40,1120,4.094,49,79.78,55.33,,0.164,0.572,0.634,0.097,0.502,,,,,,0.553,4.112,,2.64,0.572,0.634,0.0129,0.0195,0.0234,0.664,,25,0.001842,0.572,36,0.000235,0.626
,14,995,19:44,1184,4.116,51,68.87,56.34,,0.141,0.558,0.6,0.069,0.63,,,,,,0.641,4.346,,1.942,0.558,0.6,0.0155,0.0147,0.0214,1.05,,17,0.001066,0.558,36,0.000348,0.588
,15,1204,20:46,1246,4.28,55,53.03,56.91,,0.109,0.548,0.574,0.044,0.756,,,,,,0.717,4.546,,0.981,0.548,0.574,0.0152,0.0208,0.0258,0.734,,13,0.002596,0.548,36,-0.000418,0.589
,16,1451,21:49,1309,4.091,65,148.5,57.17,,0.305,0.536,0.598,0.102,0.451,,,,,,0.648,4.364,,1.976,0.536,0.598,0.0204,0.0233,0.031,0.876,,23,0.000858,0.536,36,0.000883,0.566
,17,1745,22:52,1372,3.845,66,139.3,57.27,,0.286,0.536,0.583,0.08,0.563,,,,,,0.69,4.474,,1.407,0.536,0.583,0.0203,0.0261,0.0331,0.78,,12,0.001619,0.536,36,0.000867,0.552
,18,2094,23:55,1435,4.012,78,41.04,57.3,,0.0842,0.552,0.563,0.02,0.89,,,,,,0.749,4.631,,0.306,0.552,0.563,0.0286,0.0219,0.036,1.304,,12,0.000498,0.552,36,-0.000074,0.566
,19,2508,24:59:00,1499,,85,73.9,57.31,,0.152,0.524,0.54,0.029,0.828,,,,,,0.825,4.832,,0.446,0.524,0.54,0.0309,0.0177,0.0356,1.742,,12,0.001195,0.524,36,0.000141,0.535
,20,3000,26:02:00,1562,3.798,100,36.38,57.31,,0.0747,0.518,0.524,0.012,0.928,,,,,,0.878,4.974,,0.158,0.518,0.524,0.0249,0.0317,0.0404,0.786,,35,0.000465,0.518,36,-0.000004,0.524
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LED combination C (450 + 624 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm,,,,,,,,,,,,,,,,,,,,,,,
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,0:48,48,4.48,43,0,0,0,0,0.581,0.869,0.332,,0.125,0.0545,3.025,0.526,3331,0.129,2.636,,49.95,0.59,0.855,0.00443,0.002914,0.005302,1.52,,12,0.009719,0.59,36,0.000106,0.851
,2,22,7:06,426,5.005,51,6.908,7.068,38.62,0.0123,0.672,0.98,0.314,,0.3,0.0525,2.915,0.37,4349,0.002,2.339,,16.91,0.672,0.959,0.0118,0.0123,0.017,0.955,,14,0.0101,0.672,36,-0.000223,0.967
,3,49,8:10,490,5.229,52,14.82,14.91,84.84,0.0264,0.685,0.982,0.302,,0.26,0.0518,2.875,0.354,5181,0,2.334,,17.34,0.682,0.97,0.0125,0.011,0.0166,1.135,,14,0.0104,0.682,36,0.000251,0.961
,4,81,9:13,553,5.221,53,23.29,23.14,146.3,0.0416,0.688,0.965,0.288,0.03,0.251,0.054,2.999,0.344,4080,0.017,2.374,,16.14,0.686,0.949,0.009061,0.0135,0.0163,0.67,,13,0.00998,0.686,36,0.000014,0.948
,5,118,10:16,616,5.196,51,33.85,31.4,196.3,0.0604,0.66,0.925,0.287,0.003,0.136,0.0497,2.762,0.26,3677,0.061,2.476,,15.25,0.663,0.915,0.007917,0.0145,0.0165,0.546,,12,0.009173,0.663,36,0.000345,0.903
,6,163,11:19,679,4.997,51,38.91,39.88,267.4,0.0694,0.666,0.875,0.239,0.136,0.224,0.049,2.724,0.246,4899,0.123,2.62,,11.8,0.669,0.863,0.009766,0.0132,0.0164,0.739,,12,0.006667,0.669,36,0.00001,0.863
,7,216,12:22,742,5.115,49,47.28,48.05,313.1,0.0843,0.654,0.837,0.219,0.182,0.115,0.0433,2.407,0.276,4400,0.173,2.737,,9.995,0.66,0.83,0.0117,0.0123,0.0169,0.951,,16,0.004943,0.66,36,0.000134,0.825
,8,279,13:25,805,4.661,49,54.62,50.76,498.1,0.0975,0.64,0.795,0.196,0.24,0.272,0.0534,2.965,0.33,3011,0.234,2.881,,9.707,0.637,0.788,0.007735,0.0135,0.0155,0.574,,15,0.005651,0.637,36,-0.000131,0.793
,9,353,14:28,868,4.822,50,50.34,49.17,659,0.0898,0.653,0.761,0.143,0.428,0.174,0.0558,3.1,0.37,3357,0.29,3.01,,7.279,0.655,0.755,0.006494,0.0122,0.0138,0.532,,16,0.003838,0.655,36,0.000087,0.752
,10,442,15:31,931,4.521,50,77.74,47.29,700.2,0.139,0.6,0.728,0.176,0.271,0.027,0.0473,2.63,0.562,2461,0.349,3.147,,8.532,0.611,0.736,0.006516,0.0131,0.0147,0.496,,13,0.004724,0.611,36,0.000496,0.718
,11,547,16:34,994,4.529,51,63.81,45.27,,0.114,0.595,0.674,0.117,0.487,,,,,,0.457,3.399,,4.885,0.595,0.674,0.009849,0.0127,0.0161,0.774,,13,0.003862,0.595,36,0.000289,0.664
,12,671,17:37,1057,4.417,52,64.96,43.28,,0.116,0.585,0.647,0.097,0.56,,,,,,0.517,3.54,,3.07,0.585,0.647,0.0144,0.0145,0.0204,0.993,,33,0.001038,0.585,36,0.00037,0.634
,13,819,18:40,1120,4.094,55,52.39,41.46,,0.0935,0.565,0.604,0.064,0.693,,,,,,0.627,3.796,,2.543,0.565,0.604,0.00992,0.0115,0.0152,0.863,,22,0.001461,0.565,36,-0.000301,0.614
,14,995,19:44,1184,4.116,56,21.66,39.97,,0.0386,0.56,0.573,0.022,0.891,,,,,,0.714,3.999,,0.685,0.56,0.573,0.009869,0.0153,0.0182,0.645,,20,0.001296,0.56,36,-0.000177,0.579
,15,1204,20:46,1246,4.28,60,25.15,38.88,,0.0449,0.542,0.554,0.021,0.893,,,,,,0.773,4.138,,0.463,0.542,0.554,0.0208,0.0138,0.025,1.515,,14,0.001333,0.542,36,0.000139,0.549
,16,1451,21:49,1309,4.091,65,62.52,38.19,,0.112,0.558,0.583,0.043,0.788,,,,,,0.683,3.928,,1.003,0.558,0.583,0.0146,0.0203,0.0251,0.718,,16,0.000165,0.558,36,0.000621,0.561
,17,1745,22:52,1372,3.845,71,152.2,37.81,,0.272,0.506,0.554,0.087,0.552,,,,,,0.771,4.134,,1.981,0.506,0.554,0.0142,0.0199,0.0244,0.713,,12,0.003441,0.506,36,0.00066,0.53
,18,2094,23:55,1435,4.012,81,-2583995,37.64,,,,,,,,,,,,,,,,0.531,0.516,0.0196,0.0186,0.0271,1.053,,14,0.001524,0.531,36,-0.000717,0.542
,19,2508,24:59:00,1499,,88,-3094871,37.57,,,,,,,,,,,,,,,,0.516,0.506,0.0162,0.0177,0.024,0.915,,22,0.000585,0.516,36,-0.000677,0.53
,20,3000,26:02:00,1562,3.798,99,149.6,37.55,,0.267,0.488,0.514,0.05,0.728,,,,,,0.911,4.46,,0.871,0.488,0.514,0.0176,0.0236,0.0294,0.745,,30,0.000632,0.488,36,-0.001384,0.564
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LED combination D (450 + 530 + 624 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm,,,,,,,,,,,,,,,,,,,,,,,
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,0:48,48,4.48,49,0,0,0,0,0.522,0.785,0.335,,0.136,0.0572,2.488,0.522,3408,0.115,2.865,,51.2,0.534,0.766,0.002946,0.00345,0.004537,0.854,,12,0.008914,0.534,36,0.000064,0.764
,2,22,7:06,426,5.005,57,6.924,7.004,32.66,0.011,0.6,0.875,0.315,,0.275,0.0567,2.465,0.334,4669,0,2.568,,24.3,0.598,0.864,0.007283,0.008156,0.0109,0.893,,14,0.0104,0.598,36,0.000177,0.857
,3,49,8:10,490,5.229,59,14.71,14.76,74.31,0.0234,0.61,0.871,0.3,,0.263,0.0579,2.518,0.327,3741,0.005,2.581,,21.27,0.61,0.856,0.007118,0.009169,0.0116,0.776,,12,0.00983,0.61,36,-0.000056,0.858
,4,81,9:13,553,5.221,59,23.17,22.87,121.8,0.0368,0.61,0.855,0.286,,0.244,0.0574,2.497,0.324,4221,0.024,2.631,,17.69,0.612,0.836,0.007374,0.0103,0.0127,0.716,,13,0.009015,0.612,36,-0.00021,0.844
,5,118,10:16,616,5.196,58,31.42,30.98,168,0.0499,0.601,0.819,0.266,0.003,0.098,0.0544,2.364,0.36,3651,0.068,2.744,,11.22,0.609,0.804,0.0134,0.0111,0.0174,1.207,,13,0.007221,0.609,36,-0.000071,0.807
,6,163,11:19,679,4.997,56,39.64,39.28,231.4,0.063,0.598,0.79,0.243,0.064,0.207,0.0542,2.357,0.316,3408,0.109,2.848,,13.48,0.597,0.78,0.0102,0.008932,0.0136,1.146,,15,0.007055,0.597,36,0.000081,0.777
,7,216,12:22,742,5.115,56,47.42,47.24,254.7,0.0754,0.583,0.747,0.22,0.12,0.034,0.045,1.958,0.39,4566,0.172,3.011,,15.82,0.582,0.744,0.006408,0.007995,0.0102,0.802,,15,0.005869,0.582,36,0.000412,0.729
,8,279,13:25,805,4.661,55,54.67,49.74,362.3,0.0869,0.57,0.709,0.196,0.183,0.219,0.0496,2.157,0.12,4272,0.235,3.171,,8.476,0.572,0.695,0.009325,0.0111,0.0145,0.838,,20,0.004287,0.572,36,-0.000309,0.707
,9,353,14:28,868,4.822,55,61.94,51.2,511.5,0.0985,0.564,0.685,0.175,0.248,0.258,0.0553,2.406,0.192,3728,0.279,3.285,,7.382,0.566,0.681,0.0113,0.0107,0.0156,1.058,,12,0.004211,0.566,36,0.000148,0.676
,10,442,15:31,931,4.521,54,42.58,53.92,,0.0677,0.567,0.627,0.096,0.558,,,,,,0.396,3.586,,4.145,0.567,0.627,0.0101,0.0105,0.0146,0.957,,28,0.002475,0.567,36,-0.000265,0.637
,11,547,16:34,994,4.529,57,73.88,56.93,,0.117,0.527,0.609,0.135,0.366,,,,,,0.438,3.694,,5.366,0.527,0.609,0.0113,0.0103,0.0153,1.095,,16,0.002957,0.527,36,0.000184,0.602
,12,671,17:37,1057,4.417,56,67.42,59.56,,0.107,0.511,0.568,0.1,0.501,,,,,,0.542,3.962,,4.714,0.511,0.568,0.007236,0.009694,0.0121,0.746,,13,0.002292,0.511,36,0.000051,0.566
,13,819,18:40,1120,4.094,58,44.59,61.53,,0.0709,0.516,0.545,0.054,0.721,,,,,,0.605,4.122,,2.096,0.516,0.545,0.009726,0.0103,0.0142,0.944,,18,0.000954,0.516,36,-0.00005,0.547
,14,995,19:44,1184,4.116,61,82.92,62.79,,0.132,0.486,0.53,0.083,0.563,,,,,,0.652,4.244,,2.506,0.486,0.53,0.0129,0.012,0.0176,1.076,,18,0.001246,0.486,36,0.000035,0.528
,15,1204,20:46,1246,4.28,66,70.14,63.47,,0.112,0.474,0.503,0.058,0.681,,,,,,0.74,4.47,,1.296,0.474,0.503,0.0157,0.0163,0.0226,0.966,,23,0.000688,0.474,36,0.000221,0.495
,16,1451,21:49,1309,4.091,70,64.36,63.78,,0.102,0.479,0.502,0.044,0.757,,,,,,0.745,4.481,,0.891,0.479,0.502,0.0185,0.0168,0.025,1.097,,12,0.000446,0.479,36,0.000203,0.494
,17,1745,22:52,1372,3.845,80,152.3,63.91,,0.242,0.455,0.499,0.087,0.519,,,,,,0.756,4.51,,1.942,0.455,0.499,0.015,0.0166,0.0224,0.904,,21,0.001579,0.455,36,-0.000099,0.502
,18,2094,23:55,1435,4.012,84,57.19,63.95,,0.0909,0.456,0.469,0.027,0.842,,,,,,0.868,4.798,,0.552,0.456,0.469,0.017,0.0157,0.0232,1.082,,15,0.002093,0.456,36,-0.000672,0.493
,19,2508,24:59:00,1499,,90,175.8,63.96,,0.279,0.438,0.47,0.07,0.595,,,,,,0.861,4.779,,1.585,0.438,0.47,0.0141,0.0153,0.0208,0.927,,12,0.001821,0.438,36,0.000058,0.468
,20,3000,26:02:00,1562,3.798,100,-3701999,63.96,,,,,,,,,,,,,,,,0.422,0.412,0.0203,0.0165,0.0262,1.227,,14,0.00245,0.422,36,-0.001089,0.452